Rank,Image,Part ID,Part Name,# Colors,# Pieces,Blender Dimensions
155,,60479,1×12 Plate,12,1176,"(2.4, 0.2, 0.12)"
156,,60481,Slope 65┬░ 2 x 1 x 2,28,1174,"(0.2, 0.4, 0.52)"
157,,2429c01,Hinge Plate 1 x 4 Swivel Top / Base [Complete Assembly],13,1167,"(0.48, 0.12, 0.28)"
158,,15535,Tile 2 x 2 Round with Hole,12,1155,"(0.4, 0.4, 0.08)"
159,,85080,Brick Round Corner 2 x 2 Macaroni with Stud Notch,27,1151,"(0.3997, 0.3997, 0.28)"
160,,26604,Brick Special 1 x 1 with Studs on 2 Adjacent Sides,8,1150,"(0.24, 0.24, 0.28)"
161,,36840,Bracket 1 x 1 – 1 x 1 Inverted,12,1150,"(0.2, 0.28, 0.2)"
162,,14719,"2×2 Tile, Corner",17,1112,"(0.4, 0.4, 0.08)"
163,,3937,Hinge Brick 1 x 2 Base,14,1111,"(0.4, 0.2, 0.22)"
164,,32828,Plate Round 1 x 1 with Hollow Stud and Horizontal Bar 1L,8,1095,"(0.4, 0.2, 0.12)"
165,,64567,Weapon Lightsaber Hilt without Bottom Ring,9,1093,"(0.0, 0.0, 0.0)"
166,,88323,"Technic Link Tread Wide with Two Pin Holes, Reinforced",4,1093,"(0.96, 0.45, 0.21)"
167,,27263,Tile Special 2 x 2 Corner with Cut Corner – Facet,19,1090,"(0.4, 0.4, 0.08)"
168,,3701,Technic Brick 1 x 4 [3 Holes],12,1072,"(0.8, 0.2, 0.28)"
169,,32803,Slope Curved 2 x 2 Inverted,12,1067,"(0.4, 0.4, 0.1993)"
170,,32073,Technic Axle 5,2,1064,"(1.0, 0.12, 0.12)"
171,,3065,Brick 1 x 2 without Bottom Tube,13,1063,"(0.4, 0.2, 0.28)"
172,,40490,Technic Beam 1 x 9 Thick,13,1048,"(0.18, 1.78, 0.2)"
173,,60601,Glass for Window 1 x 2 x 2 Flat,11,1048,"(0.33, 0.04, 0.39)"
174,,22388,Slope 45┬░ 1 x 1 x 2/3 Quadruple Convex,17,1039,"(0.2, 0.2, 0.1555)"
175,,3035,Plate 4 x 8,21,1032,"(1.6, 0.8, 0.12)"
176,,64644,Equipment Telescope,8,1032,"(0.16, 0.16, 0.44)"
177,,3958,Plate 6 x 6,30,1025,"(1.2, 1.2, 0.12)"
178,,63965,Bar 6L with Stop Ring,11,1023,"(0.12, 0.12, 1.205)"
179,,14704,Plate Special 1 x 2 5.9mm Centre Side Cup,2,1012,"(0.4, 0.35, 0.1575)"
180,,2436,Bracket 1 x 2 – 1 x 4 [Rounded Corners],11,1004,"(0.8, 0.28, 0.24)"
181,,2450,Wedge Plate 3 x 3 Cut Corner,17,977,"(0.6, 0.6, 0.12)"
182,,43722,Wedge Plate 3 x 2 Right,22,976,"(0.4, 0.6, 0.12)"
183,,43723,Wedge Plate 3 x 2 Left,23,966,"(0.4, 0.6, 0.12)"
184,,29120,Slope Curved 2 x 1 with Stud Notch Left,24,966,"(0.2, 0.37, 0.16)"
185,,4599b,Tap 1 x 1 with Hole in Spout,9,962,"(0.16, 0.28, 0.28)"
186,,2445,2×12 Plate,20,958,"(2.4, 0.4, 0.12)"
187,,29119,Slope Curved 2 x 1 with Stud Notch Right,24,949,"(0.2, 0.37, 0.16)"
188,,49668,Plate Special 1 x 1 with Tooth,17,938,"(0.2052, 0.4, 0.12)"
189,,22385,Tile Special 2 x 3 Pentagonal,29,931,"(0.4, 0.5979, 0.08)"
190,,2432,Tile Special 1 x 2 with Handle,15,927,"(0.4, 0.2, 0.32)"
191,,87083,Technic Axle 4 with Stop,1,923,"(0.8, 0.16, 0.16)"
192,,32278,Technic Beam 1 x 15 Thick,17,919,"(0.18, 2.98, 0.2)"
193,,30413,Panel 1 x 4 x 1 with Rounded Corners [Thin Wall],20,912,"(0.8011, 0.2, 0.24)"
194,,14716,Brick 1 x 1 x 3,14,907,"(0.2, 0.2, 0.76)"
195,,4081b,Plate Special 1 x 1 with Clip Light [Thick Ring],12,897,"(0.2, 0.38, 0.16)"
196,,32525,Technic Beam 1 x 11 Thick,17,896,"(0.18, 2.18, 0.2)"
197,,6134,Hinge Brick 2 x 2 Top Plate Thin,8,895,"(0.4, 0.4, 0.2)"
198,,24309,Slope Curved 3 x 2 No Studs,12,895,"(0.4, 0.6, 0.2397)"
199,,30357,Plate Round Corner 3 x 3,28,884,"(0.6, 0.6, 0.12)"
200,,24316,Technic Axle 3 with Stop,1,881,"(0.6, 0.16, 0.16)"
201,,41769,Wedge Plate 4 x 2 Right,25,877,"(0.3991, 0.8, 0.12)"
202,,10247,Plate Special 2 x 2 with 1 Pin Hole [Complete Underside Rib],7,872,"(0.4, 0.4, 0.23)"
203,,6628,Technic Pin with Friction Ridges Lengthwise and Towball,2,852,"(0.38, 0.16, 0.16)"
204,,15070,Plate Special 1 x 1 with Vertical Tooth,15,851,"(0.2008, 0.2793, 0.28)"
205,,41770,Wedge Plate 4 x 2 Left,26,848,"(0.3991, 0.8, 0.12)"
206,,47457,Brick Curved 2 x 2 x 2/3 Two Studs and Curved Slope End,16,842,"(0.4, 0.4, 0.2)"
207,,6632,Technic Beam 1 x 3 Thin,10,840,"(0.18, 0.58, 0.1)"
208,,32184,Technic Axle and Pin Connector Perpendicular 3L with Centre Pin Hole,7,839,"(0.2, 0.2, 0.58)"
209,,15392,"Launcher Trigger, Weapon Gun Trigger",2,831,"(0.1725, 0.2918, 0.1585)"
210,,6005,Brick Arch 1 x 3 x 2 Curved Top,22,822,"(0.2, 0.6, 0.4797)"
211,,88072,Plate Special 1 x 2 with Arm Up [Horizontal Arm 6mm],10,817,"(0.4, 0.34, 0.24)"
212,,51739,Wedge Plate 2 x 4,20,814,"(0.77, 0.4, 0.12)"
213,,3659,Brick Arch 1 x 4,17,813,"(0.8, 0.2, 0.28)"
214,,4282,2×16 Plate,16,813,"(3.2, 0.4, 0.12)"
215,,11203,Tile Special 2 x 2 Inverted,15,809,"(0.4, 0.4, 0.12)"
216,,36841,Bracket 1 x 1 – 1 x 1,11,807,"(0.2, 0.28, 0.24)"
217,,30565,Plate Round Corner 4 x 4,26,774,"(0.7995, 0.7995, 0.12)"
218,,23443,"Bar, Thick with Hole and Bar Handle",8,765,"(0.125, 0.1372, 0.36)"
219,,3037,Slope 45┬░ 2 x 4,19,761,"(0.8, 0.4, 0.28)"
220,,32556,Technic Pin Long without Friction Ridges,1,748,"(0.6, 0.16, 0.16)"
221,,6231,Panel 1 x 1 x 1 Corner,14,741,"(0.2, 0.2, 0.24)"
222,,37352,Brick Curved 1 x 2 x 1 No Studs,25,740,"(0.4, 0.2, 0.2399)"
223,,3747b,Slope Inverted 33┬░ 3 x 2 [No Connections between Studs],15,737,"(0.4, 0.6, 0.28)"
224,,4460b,Slope 75┬░ 2 x 1 x 3 with Hollow Stud,18,736,"(0.2, 0.4, 0.76)"
225,,87620,Wedge 2 x 2 Facet,16,729,"(0.4, 0.4, 0.28)"
226,,3176,Plate Special 3 x 2 with Hole,19,722,"(0.4, 0.6, 0.1211)"
227,,3298,Slope 33┬░ 3 x 2,17,712,"(0.4, 0.6, 0.28)"
228,,93274,Bracket 1 x 2 – 2 x 4,11,712,"(0.8, 0.28, 0.44)"
229,,14417,Plate Special 1 x 2 with 5.9mm Centre Side Towball,1,708,"(0.4, 0.38, 0.16)"
230,,32034,Technic Axle and Pin Connector Angled #2 – 180┬░,10,704,"(0.2, 0.6, 0.18)"
231,,22961,Technic Pin Connector Hub with 1 Axle,7,703,"(0.39, 0.18, 0.2)"
232,,88646,Plate Special 3 x 4 with 1 x 4 Center Studs [Plain],6,696,"(0.8, 0.6, 0.12)"
233,,44865,Brick Special 1 x 2 with Pin,7,694,"(0.4, 0.4, 0.28)"
234,,2453,Brick 1 x 1 x 5 with Blocked Open or Hollow Stud,16,690,"(0.2, 0.2, 1.24)"
235,,54657,"Hinge Plate 1 x 2 Locking with 2 Fingers On End, with Groove",6,690,"(0.0, 0.0, 0.0)"
236,,60596,Door Frame 1 x 4 x 6 Type 2,20,689,"(0.8, 0.2, 1.48)"
237,,18653,Brick Arch 1 x 3 x 2 Inverted [Inside Bow],20,689,"(0.6, 0.2, 0.52)"
238,,33183,"Plant, Carrot Top",4,683,"(0.2563, 0.092, 0.4183)"
239,,298c02,Lever Small Base with Black Lever,6,679,"(0.0, 0.0, 0.0)"
240,,15379,Technic Link Tread with Beveled Edge,2,669,"(0.52, 0.26, 0.13)"
241,,60477,Slope 18┬░ 4 x 1,15,667,"(0.2, 0.8, 0.28)"
242,,32039,Technic Axle Connector with Axle Hole,7,666,"(0.2, 0.39, 0.18)"
243,,92947,Brick Round 2 x 2 [Grill],10,662,"(0.3998, 0.3998, 0.28)"
244,,3036,Plate 6 x 8,19,657,"(1.6, 1.2, 0.12)"
245,,2423,"Plant, Leaves 4 x 3",13,656,"(0.52, 0.78, 0.12)"
246,,27507,"Tile 4 x 4 Curved, Macaroni",23,656,"(0.8, 0.8, 0.08)"
247,,93606,Slope Curved 4 x 2 No Studs,20,651,"(0.4, 0.8, 0.2397)"
248,,32002,Technic Pin 3/4,2,647,"(0.3, 0.16, 0.16)"
249,,87544,Panel 1 x 2 x 3 [Side Supports / Hollow Studs],14,646,"(0.4, 0.2, 0.76)"
250,,24307,Wedge Plate 2 x 2 Right,16,641,"(0.385, 0.4, 0.12)"
251,,4490,Brick Arch 1 x 3,10,636,"(0.6, 0.2, 0.28)"
252,,14418,Plate Special 1 x 2 5.9mm End Cup,1,627,"(0.55, 0.2, 0.1575)"
253,,48092,Brick Round Corner 4 x 4 Macaroni Wide with 3 Studs,22,627,"(0.8, 0.8, 0.28)"
254,,6014b,Wheel 11 x 12 with Hole Notched for Wheels Holder Pin,6,623,"(0.26, 0.28, 0.26)"
255,,3957,Antenna 1 x 4 with Rounded Top,10,623,"(0.16, 0.16, 0.96)"
256,,15470,Plate Round 1 x 1 Swirled Top,6,621,"(0.2, 0.2, 0.1798)"
257,,23969,Panel 1 x 2 x 1 with Rounded Corners and 2 Sides,13,618,"(0.4, 0.2, 0.24)"
258,,3706,Technic Axle 6,2,610,"(1.2, 0.12, 0.12)"
259,,60484,Technic Beam 3 x 3 T-Shape Thick,7,609,"(0.58, 0.58, 0.2)"
260,,24299,Wedge Plate 2 x 2 Left,16,609,"(0.385, 0.4, 0.12)"
261,,4733,Brick Special 1 x 1 Studs on 4 Sides,8,603,"(0.28, 0.28, 0.28)"
262,,30503,Wedge Plate 4 x 4 Cut Corner,13,599,"(0.8, 0.8, 0.12)"
263,,30153,Rock 1 x 1 Jewel 24 Facet,10,599,"(0.1957, 0.1957, 0.2169)"
264,,41239,Technic Beam 1 x 13 Thick,15,598,"(0.18, 2.58, 0.2)"
265,,44294,Technic Axle 7,2,592,"(1.4, 0.12, 0.12)"
266,,553,Brick Round 2 x 2 Dome Top – Blocked Open Stud without Bottom Axle Holder,24,578,"(0.4, 0.4, 0.28)"
267,,73562,Bracket 3 x 2 x 1 1/3 with Pin Bottom,9,576,"(0.0, 0.0, 0.0)"
268,,21459,Weapon Sword / Katana / Shamshir with Capped Pommel [Square Guard],10,576,"(0.11, 0.1788, 1.12)"
269,,11215,Bracket 5 x 2 x 1 1/3,10,575,"(0.4, 1.0, 0.36)"
270,,32270,Technic Gear 12 Tooth Double Bevel,1,570,"(0.34, 0.2, 0.34)"
271,,4624,Wheel 8 x 6 with Slot,6,567,"(0.2, 0.16, 0.2)"
272,,2449,Slope Inverted 75┬░ 2 x 1 x 3,21,562,"(0.2, 0.4, 0.76)"
273,,87747,"Animal Body Part, Barb / Claw / Tooth / Talon / Horn, Medium",14,562,"(0.1499, 0.2996, 0.4986)"
274,,11478,Technic Beam 1 x 5 Thin with Axle Holes on Ends,5,559,"(0.18, 0.98, 0.1)"
275,,55981,"Wheel 18 x 14 with Pin Hole, Fake Bolts and Shallow Spokes",9,558,"(0.42, 0.4, 0.42)"
276,,6179,Plates Special 4 x 4 with Studs on One Edge [Plain],15,558,"(0.8, 0.8, 0.12)"
277,,15571,Slope 45┬░ 2 x 1 Triple with Inside Stud Holder,17,556,"(0.4, 0.2, 0.2346)"
278,,3894,Technic Brick 1 x 6 [5 Holes],7,555,"(1.2, 0.2, 0.28)"
279,,13547,Slope Curved 4 x 1 Inverted,19,555,"(0.2, 0.8, 0.2799)"
280,,63869,Technic Axle and Pin Connector Perpendicular Triple,5,555,"(0.58, 0.2, 0.38)"
281,,20310,Brick Special 1 x 1 with Scroll with Open Stud,6,552,"(0.2, 0.4, 0.28)"
282,,3030,Plate 4 x 10,15,552,"(2.0, 0.8, 0.12)"
283,,35787,Tile 45┬░ Cut 2 x 2,17,546,"(0.37, 0.37, 0.08)"
284,,26287,Technic Driving Ring Connector Smooth [4 rounded side walls],6,546,"(0.1745, 0.6, 0.1745)"
285,,54383,Wedge Plate 6 x 3 Right,16,542,"(0.6, 1.2, 0.12)"
286,,60581,Panel 1 x 4 x 3 [Side Supports / Hollow Studs],14,540,"(0.8, 0.2, 0.76)"
287,,41682,Bracket 2 x 2 with 1 x 2 Vertical Studs,14,534,"(0.4, 0.4, 0.28)"
288,,2465,1×16 Brick,11,531,"(3.2, 0.2, 0.28)"
289,,44301,"Hinge Plate 1 x 2 Locking with 1 Finger On End, with Groove",6,531,"(0.5535, 0.2, 0.1339)"
